,S,E,I,R
0,800,100,50,50
1,733.2149342,155.3580848,44.88674187,55.68460718
2,653.9431975,217.8748268,40.60306973,60.80602906
3,565.7661038,283.4782685,37.0781604,65.45962098
4,474.7306327,346.1193151,34.22590655,69.73159606
5,387.4214362,399.7998094,31.94232246,73.69661527
6,308.9174203,440.3960419,30.11808596,77.41624093
7,242.6097522,465.8219853,28.63813589,80.94027723
8,188.9482045,476.9949558,27.39886227,84.30397972
9,146.6332037,476.3333013,26.32560381,87.52607094
10,114.1026856,466.3476004,25.35471046,90.62277524
11,89.56468775,449.6142493,24.43263913,93.60841402
12,71.06990779,428.6206357,23.52704606,96.48842677
13,56.97255179,405.2060856,22.63167996,99.25938817
14,46.09791602,380.6750879,21.74109679,101.920253
15,37.73446759,355.8492792,20.84775329,104.4730594
16,31.44096563,331.2279654,19.94596088,106.9205926
17,26.5418859,307.3990021,19.04291851,109.2600371
18,22.67941275,284.6267211,18.14357387,111.4911194
19,19.60049279,263.0657224,17.25207291,113.6146163
20,17.12636782,242.7871648,16.37246666,115.6318567
21,15.11910265,223.808972,15.50916923,117.544427
22,13.47883953,206.1123878,14.6657618,119.3546768
23,12.1251704,189.6640463,13.8453406,121.0651986
24,10.99665145,174.4164338,13.05053219,122.6788135
25,10.04990986,160.3083303,12.28354414,124.1985439
26,9.250271539,147.2729199,11.54613331,125.6277071
27,8.571714558,135.2441228,10.83896766,126.9702405
28,7.99277218,124.1568344,10.16250833,128.2300113
29,7.495472013,113.9471453,9.517138171,129.410731
30,7.065336008,104.552341,8.903161809,130.5159543
31,6.691324402,95.91102609,8.320759252,131.5491232
32,6.365002587,87.96632053,7.769359373,132.5140745
33,6.0795134,80.66674467,7.247999569,133.4146875
34,5.828896355,73.9633692,6.755770142,134.2546166
35,5.608013432,67.80966585,6.291802592,135.0373134
36,5.412549072,62.16150734,5.855269617,135.7660276
37,5.239001327,56.9772735,5.44535281,136.4438334
38,5.084566795,52.21986756,5.060869011,137.0739093
39,4.946911445,47.85613129,4.700537264,137.6593106
40,4.823962735,43.85475155,4.363163145,138.2029011
41,4.713891564,40.18619479,4.047620138,138.7073755
42,4.615112273,36.82270707,3.752849639,139.1752594
43,4.526281013,33.73838245,3.477844395,139.6089224
44,4.44628378,30.91038572,3.22147162,140.0106949
45,4.374175245,28.31840147,2.982610585,140.3827606
46,4.309101901,25.94329372,2.760214908,140.7271653
47,4.250296145,23.767069,2.553300405,141.0458313
48,4.197076271,21.77287631,2.360945096,141.3405573
49,4.148846433,19.94504869,2.182281514,141.6130237
50,4.105101882,18.26983334,2.016422012,141.8648312
51,4.065407839,16.73502086,1.862521889,142.0974567
52,4.029366568,15.32912446,1.719791233,142.3122842
53,3.996615248,14.04135786,1.587487937,142.5106134
54,3.966825975,12.86163527,1.464917698,142.6936592
55,3.939706333,11.78060752,1.351430714,142.8625536
56,3.915006351,10.79012203,1.246394052,143.0183495
57,3.892505236,9.882844804,1.149218086,143.1620144
58,3.871999372,9.051884311,1.059350914,143.2944549
59,3.853302167,8.290800695,0.976274517,143.4165203
60,3.83624406,7.593605783,0.89950476,143.5290027
